code,name,country
51678,Peru Rural,Peru
50323214,El Salvador CTE On Net,El Salvador
48856826,Poland TPSA,Poland
48957663,Poland TPSA,Poland
578800,Colombia LEX,Colombia
35127408,Portugal OLO,Portugal
27182850,South Africa Premium,South Africa
516129,Peru High,Peru
2265077,Burkina Faso Premium Services,Burkina Faso
4876805,Poland TPSA,Poland
47591,Norway Mobile - Telenor,Norway
33587,France CLEC,France
919170,India Mobile - Other Carriers,India
18097407,Dominican Republic Santo Domingo,Dominican Republic
99876391,Uzbekistan Mobile,Uzbekistan
48525542,Poland OLO,Poland
50150,Belize BTL,Belize
5912288,Bolivia La Paz,Bolivia
9054287,Turkey North Cyprus Mobile,Turkey
48876666,Poland OLO,Poland
5037849,El Salvador Mobile - Telefonica,El Salvador
479335,Norway Mobile - Other Carriers,Norway
521467,Mexico Not Equal Access II Mobile,Mexico
4856657,Poland TPSA,Poland
52821,Mexico Equal Access,Mexico
518229,Peru High,Peru
1809292,Dominican Republic Mobile - Other Carriers,Dominican Republic
9183859,India Mobile - Aircel,India
5966962,Martinique Mobile - Orange,Martinique
1829534,Dominican Republic Mobile - Verizon,Dominican Republic
35127112,Portugal OLO,Portugal
486182,Poland TPSA,Poland
591384604,Bolivia Equal Access,Bolivia
48413064,Poland TPSA,Poland
18099605,Dominican Republic Santo Domingo,Dominican Republic
4832744,Poland OLO,Poland
3873091,Bosnia and Herzegovina OLO,Bosnia and Herzegovina
2222,Mauritania Mobile,Mauritania
1876818,Jamaica Mobile - CWJ,Jamaica
504317,Honduras Mobile - Megatel,Honduras
9182889,India Mobile - Other Carriers,India
46701993,Sweden Mobile - Telenor,Sweden
4475374,United Kingdom Mobile - Vodafone,United Kingdom
59771,Suriname Mobile - Digicel,Suriname
59262,Guyana Mobile - Other Carriers,Guyana
4861468,Poland OLO,Poland
467650,Sweden Mobile - Other Carriers,Sweden
3865400,Slovenia OLO 1,Slovenia
37178535,Latvia NGN,Latvia
9185429,India Mobile - Other Carriers,India
48566530,Poland TPSA,Poland
48134771,Poland OLO,Poland
447958,United Kingdom Mobile - Tmobile,United Kingdom
73021,Russia Zone 3,Russia
685,Samoa Proper,Samoa
458131,Denmark Mobile - Telenor,Denmark
4844756,Poland TPSA,Poland
3584578,Finland Mobile - Finnet,Finland
27531100,South Africa Premium,South Africa
456098,Denmark Mobile - Other Carriers,Denmark
3599527,Bulgaria OLO,Bulgaria
593728953,Ecuador ETAPA,Ecuador
1829580,Dominican Republic Mobile - Orange,Dominican Republic
2721933958,South Africa Premium,South Africa
48123623,Poland OLO,Poland
467617,Sweden Mobile - Hi3G,Sweden
321326,Belgium Telenet,Belgium
5722004,Colombia LEX,Colombia
48684154,Poland OLO,Poland
4884689,Poland TPSA,Poland
672372,Norfolk Island Premium Services,Norfolk Island
328687,Belgium Telenet,Belgium
48758753,Poland OLO,Poland
48333337,Poland OLO,Poland
9325,Afghanistan Kabul,Afghanistan
3874924,Bosnia and Herzegovina Srpska,Bosnia and Herzegovina
790251,Russia Mobile - Other Carriers,Russia
3712729,Latvia Mobile - Bite,Latvia
35128219,Portugal OLO,Portugal
354823,Iceland Mobile - Vodafone,Iceland
5197410,Peru Mobile - Other Carriers,Peru
5032672,El Salvador Salnet,El Salvador
94657,Sri Lanka WLL,Sri Lanka
48815039,Poland TPSA,Poland
516429,Peru High,Peru
3706917,Lithuania Mobile - Bite,Lithuania
84796,Vietnam Mobile - Viettel,Vietnam
48156401,Poland OLO,Poland
919693,India Mobile - Other Carriers,India
351669,Portugal Mobile - Other Carriers,Portugal
1721585,Saint Maarten Mobile,Saint Maarten
917407,India Mobile - Other Carriers,India
571834,Colombia LEX,Colombia
9184619,India Mobile - Other Carriers,India
27310300,South Africa Premium,South Africa
35125105,Portugal OLO,Portugal
48717572,Poland OLO,Poland
18095980,Dominican Republic Santo Domingo,Dominican Republic
213697,Algeria Mobile - Mobilis,Algeria
790823,Russia Mobile - Other Carriers,Russia
488839,Poland Mobile - P4,Poland
4832449,Poland TPSA,Poland
273157116,South Africa Premium,South Africa
37167660,Latvia OLO,Latvia
593724405,Ecuador ETAPA,Ecuador
55333422,Brazil Governador Validates On Net,Brazil
4884611,Poland TPSA,Poland
48433067,Poland OLO,Poland
5718963,Colombia LEX,Colombia
1869565,Saint Kitts and Nevis Mobile - Other Carriers,Saint Kitts and Nevis
6707,East Timor Mobile,East Timor
962779,Jordan Mobile Mobilecom,Jordan
59069033,Guadeloupe Mobile - Orange,Guadeloupe
593724700,Ecuador ETAPA,Ecuador
35124513,Portugal OLO,Portugal
632352,Philippines PLDT,Philippines
50474100,Honduras Mobile - Hondutel,Honduras
4894367,Poland TPSA,Poland
3873265,Bosnia and Herzegovina - BIH,Bosnia and Herzegovina
576744,Colombia Armenia,Colombia
6356420,Philippines Bayantel,Philippines
9187430,India Mobile - Other Carriers,India
52594,Mexico NEA2,Mexico
50326182,El Salvador CTE On Net,El Salvador
918427,India Mobile - Bharti,India
50324430,El Salvador CTE On Net,El Salvador
886970,Taiwan Mobile TCC,Taiwan
9178508,India Mobile - Other Carriers,India
57225601,Colombia LEX,Colombia
3873575,Bosnia and Herzegovina - BIH,Bosnia and Herzegovina
2711470683,South Africa NGN,South Africa
45208,Denmark Mobile - Telenor,Denmark
48295975,Poland TPSA,Poland
4868410,Poland OLO,Poland
919526,India Mobile - Other Carriers,India
3712559,Latvia Mobile - LMT,Latvia
3873282,Bosnia and Herzegovina - BIH,Bosnia and Herzegovina
4846857,Poland TPSA,Poland
4841315,Poland TPSA,Poland
572208,Colombia LEX,Colombia
521382,Mexico Not Equal Access II Mobile,Mexico
632710,Philippines PLDT,Philippines
6113,Australia NGN,Australia
61261,Australia Canberra,Australia
5026645,Guatemala TelGua,Guatemala
7902417,Russia Mobile - Other Carriers,Russia
336382,France Mobile - Orange,France
2319374,Liberia Premium Services,Liberia
52913,Mexico NEA2,Mexico
354829,Iceland Mobile - Other Carriers,Iceland
487274,Poland Mobile - Plus,Poland
521372,Mexico Not Equal Access II Mobile,Mexico
33374,France CLEC,France
474002,Norway Mobile - Other Carriers,Norway
73495,Russia Zone 3,Russia
34648,Spain Mobile - Telefonica,Spain
3712793,Latvia Mobile - Bite,Latvia
554388,Brazil Mobile - Claro,Brazil
50322838,El Salvador Mobile - Telemovil,El Salvador
321348,Belgium OLO,Belgium
48768181,Poland TPSA,Poland
4829744,Poland TPSA,Poland
48815657,Poland OLO,Poland
918469,India Mobile - Other Carriers,India
50323168,El Salvador Mobile - Telemovil,El Salvador
4867215,Poland TPSA,Poland
8490,Vietnam Mobile - Mobifone,Vietnam
8190428,Japan Mobile - Softbank Mobile,Japan
4844683,Poland TPSA,Poland
48878888,Poland OLO,Poland
3811561,Serbia Orion,Serbia
555191,Brazil Mobile - Claro,Brazil
566219,Chile Rural,Chile
1829249,Dominican Republic Santo Domingo,Dominican Republic
35389545,Ireland Mobile - Tesco,Ireland
9185519,India Mobile - Other Carriers,India
84266,Vietnam Mobile - Viettel,Vietnam
48542380,Poland TPSA,Poland
50326430,El Salvador Mobile - Digicel,El Salvador
1829786,Dominican Republic Mobile - Verizon,Dominican Republic
3364007,France Mobile - SFR,France
9185459,India Mobile - Other Carriers,India
543487,Argentina Cities Group 1,Argentina
48323080,Poland OLO,Poland
57783,Colombia LEX,Colombia
78166,Russia Zone 1,Russia
5198298,Peru Mobile - Movistar,Peru
1849885,Dominican Republic Mobile - Orange,Dominican Republic
447903,United Kingdom Mobile - Tmobile,United Kingdom
3877026,Bosnia and Herzegovina - BIH,Bosnia and Herzegovina
4894,Poland Region 3 (Poznan),Poland
4876776,Poland OLO,Poland
4874871,Poland TPSA,Poland
4874804,Poland TPSA,Poland
593740641,Ecuador ETAPA,Ecuador
5058898,Nicaragua Mobile - Movistar,Nicaragua
504875,Honduras Mobile - Digicel,Honduras
54916,Argentina Mobile - All Cities/Other Cities Mobile,Argentina
44190895,United Kingdom Verizon On Net,United Kingdom
48915611,Poland TPSA,Poland
9175881,India Mobile - BSNL,India
519548,Peru Mobile - Movistar,Peru
9185859,India Mobile - Other Carriers,India
48825752,Poland TPSA,Poland
48323826,Poland TPSA,Poland
6355252,Philippines Bayantel,Philippines
99874260,Uzbekistan Mobile,Uzbekistan
467672676,Sweden Mobile - Other Carriers,Sweden
48324329,Poland TPSA,Poland
47481,Norway Mobile - Telenor,Norway
3706973,Lithuania Mobile - Omnitel,Lithuania
632457,Philippines PLDT,Philippines
5048,Honduras Mobile - Other Carriers,Honduras
91172,India Punjab,India
6353381,Philippines Bayantel,Philippines
29826,Faroe Islands Mobile,Faroe Islands
9158322,India BSNL Onnet,India
328773,Belgium OLO,Belgium
60143,Malaysia Mobile - Digi,Malaysia
3318,France CLEC,France
1758717,Saint Lucia Mobile - Digicel,Saint Lucia
59069043,Guadeloupe Mobile - Digicel,Guadeloupe
180959897,Dominican Republic Santo Domingo,Dominican Republic
48158311,Poland TPSA,Poland
48146348,Poland OLO,Poland
18092488,Dominican Republic Mobile - Verizon,Dominican Republic
4812382,Poland OLO,Poland
48446676,Poland OLO,Poland
1829597,Dominican Republic Santo Domingo,Dominican Republic
59138314,Bolivia Equal Access,Bolivia
482289,Poland TPSA,Poland
962798,Jordan Mobile Fastlink II,Jordan
271196689,South Africa Premium,South Africa
73853,Russia Zone 3/Zone 3 Altay Region,Russia
1849869,Dominican Republic Mobile - Orange,Dominican Republic
474854,Norway Mobile - Other Carriers,Norway
325425,Belgium Telenet,Belgium
1649342,Turks and Caicos Islands Mobile - Digicel,Turks and Caicos Islands
918574,India Mobile - Aircel,India
322400,Belgium OLO,Belgium
73914,Russia Zone 3,Russia
9181198,India Mobile - Other Carriers,India
447898,United Kingdom Mobile - Hutchison 3G,United Kingdom
1849882,Dominican Republic Mobile - Orange,Dominican Republic
519650,Peru Mobile - Movistar,Peru
5036130,El Salvador Mobile - Telefonica,El Salvador
1473534,Grenada Mobile - Digicel,Grenada
73455,Russia Zone 3,Russia
45527,Denmark Mobile - Telenor,Denmark
9185628,India Mobile - Aircel,India
324390,Belgium OLO,Belgium
39381,Italy Mobile - Other Carriers,Italy
50326284,El Salvador CTE On Net,El Salvador
328675,Belgium OLO,Belgium
1264584,Anguilla Mobile - Digicel,Anguilla
48178643,Poland TPSA,Poland
5722224,Colombia LEX,Colombia
35475,Iceland Mobile - Other Carriers,Iceland
35820,Finland Personal,Finland
5198236,Peru Mobile - Claro,Peru
9182760,India Mobile - Other Carriers,India
821090,South Korea Mobile - SKT,South Korea
50323820,El Salvador CTE On Net,El Salvador
479962,Norway Mobile - Other Carriers,Norway
5722564,Colombia Cali,Colombia
186873,Trinidad and Tobago Mobile - Other Carriers,Trinidad and Tobago
4877451,Poland TPSA,Poland
346020,Spain Mobile - Orange,Spain
4475379,United Kingdom Mobile - Other Carriers,United Kingdom
5914690,Bolivia Equal Access,Bolivia
48525680,Poland OLO,Poland
325888,Belgium Telenet,Belgium
52987,Mexico Equal Access,Mexico
44208602,United Kingdom Verizon On Net,United Kingdom
73919,Russia Zone 3,Russia
49171,Germany Mobile - D1 (Tmobil),Germany
4874834,Poland TPSA,Poland
521632,Mexico Mobile - Equal Access 2B,Mexico
543530,Argentina Cordoba,Argentina
793,Russia Mobile - Megafon,Russia
78426,Russia Zone 2,Russia
50324730,El Salvador Mobile - Telefonica,El Salvador
55139,Brazil Mobile - Other Carriers,Brazil
3712723,Latvia Mobile - Other Carriers,Latvia
50325185,El Salvador Mobile - Telefonica,El Salvador
479677,Norway Mobile - Other Carriers,Norway
790125,Russia Mobile - Other Carriers,Russia
578281,Colombia LEX,Colombia
35123607,Portugal OLO,Portugal
55789,Brazil Mobile - Other Carriers,Brazil
8180358,Japan Mobile - Other Carriers,Japan
4889539,Poland TPSA,Poland
9184659,India Mobile - Other Carriers,India
5511633,Brazil Mobile - Claro,Brazil
45292,Denmark Mobile - TDC Mobil,Denmark
576916,Colombia Pereira,Colombia
4676670,Sweden Mobile - Telia,Sweden
917567,India Mobile - Other Carriers,India
1849356,Dominican Republic Mobile - Verizon,Dominican Republic
4816675,Poland TPSA,Poland
79511,Russia Mobile - Other Carriers,Russia
48858319,Poland OLO,Poland
502503,Guatemala Mobile - Comcel,Guatemala
505861,Nicaragua Mobile - Claro,Nicaragua
5042669,Honduras Hondutel On Net,Honduras
48134725,Poland OLO,Poland
37121,Latvia Mobile - Other Carriers,Latvia
918449,India Mobile - Other Carriers,India
50322014,El Salvador CTE On Net,El Salvador
4877543,Poland OLO,Poland
5935,Ecuador Galapagos Pacifictel,Ecuador
44152490,United Kingdom Verizon On Net,United Kingdom
48146983,Poland OLO,Poland
323494,Belgium OLO,Belgium
46720502,Sweden Mobile - Other Carriers,Sweden
5194173,Peru Mobile - Claro,Peru
5022428,Guatemala Mobile - Comcel,Guatemala
99412,Azerbaijan Baku,Azerbaijan
48486781,Poland TPSA,Poland
4479784,United Kingdom Mobile - Other Carriers,United Kingdom
467286,Sweden Mobile - Tele2,Sweden
50326054,El Salvador Mobile - Telemovil,El Salvador
55959,Brazil Mobile - Other Carriers,Brazil
479403,Norway Mobile - Telenor,Norway
50323051,El Salvador Mobile - CTE Personal,El Salvador
50324723,El Salvador CTE On Net,El Salvador
31612,Netherlands Mobile - KPN,Netherlands
918302,India Mobile - Other Carriers,India
4858513,Poland TPSA,Poland
1829834,Dominican Republic Santo Domingo,Dominican Republic
