code,name,country
1201007,99999-7229,NJ
1201032,99999-0138,NJ
1201040,99999-9206,NJ
1201200,224-9206,NJ
1201201,99999-MULT,NJ
1201202,224-6630,NJ
1201203,224-325E,NJ
1201204,224-389C,NJ
1201205,224-6664,NJ
1201206,224-6232,NJ
1201207,224-6391,NJ
1201208,224-4036,NJ
1201209,224-9206,NJ
1201210,224-7421,NJ
1201211,99999-MULT,NJ
1201212,224-6664,NJ
1201213,224-6391,NJ
1201214,224-4036,NJ
1201215,224-2680,NJ
1201216,224-9206,NJ
1201217,224-9206,NJ
1201218,224-4036,NJ
1201219,224-6630,NJ
1201220,224-4036,NJ
1201221,224-7142,NJ
1201222,224-9206,NJ
1201223,224-9206,NJ
1201224,224-9206,NJ
1201225,224-9206,NJ
1201226,224-9206,NJ
1201227,224-9206,NJ
1201228,224-7421,NJ
1201229,224-9206,NJ
1201230,224-6391,NJ
1201231,224-7421,NJ
1201232,224-6391,NJ
1201233,224-6623,NJ
1201234,224-7421,NJ
1201235,224-6734,NJ
1201236,224-9206,NJ
1201237,224-9748,NJ
1201238,224-6623,NJ
1201239,224-9206,NJ
1201240,224-6391,NJ
1201241,224-6391,NJ
1201242,224-9206,NJ
1201243,224-9206,NJ
1201244,224-9206,NJ
1201245,224-4036,NJ
1201246,224-9206,NJ
1201247,224-6391,NJ
1201248,224-6391,NJ
1201249,224-6391,NJ
1201250,224-6391,NJ
1201251,224-9206,NJ
1201252,224-7421,NJ
1201253,224-4036,NJ
1201254,224-7421,NJ
1201255,224-6088,NJ
1201256,224-7421,NJ
1201257,224-7421,NJ
1201258,224-7421,NJ
1201259,224-6391,NJ
1201260,99999-9206,NJ
1201261,224-9206,NJ
1201262,224-9206,NJ
1201263,224-9206,NJ
1201264,224-6391,NJ
1201265,224-9206,NJ
1201266,224-7421,NJ
1201267,224-7229,NJ
1201268,224-4036,NJ
1201269,224-9206,NJ
1201270,224-7142,NJ
1,USA,USA
1201271,224-9206,NJ
1201272,224-7229,NJ
1201273,224-6391,NJ
1201274,224-6391,NJ
1201275,224-6664,NJ
1201276,224-6919,NJ
1201277,224-6919,NJ
1201278,224-6919,NJ
1201279,224-6664,NJ
1201280,224-6391,NJ
1201281,224-6623,NJ
1201282,224-692F,NJ
1201283,224-7232,NJ
1201284,224-9206,NJ
1201285,224-3114,NJ
1201286,224-4036,NJ
1201287,224-9206,NJ
1201288,224-9206,NJ
1201289,224-4036,NJ
1201290,224-4036,NJ
1201291,224-9206,NJ
1201292,224-7134,NJ
1201293,224-7232,NJ
1201294,224-4036,NJ
1201295,224-9206,NJ
1201296,224-9206,NJ
1201297,224-4123,NJ
1201298,224-2680,NJ
1201299,224-4123,NJ
1201300,224-4123,NJ
1201301,224-4123,NJ
1201302,224-9206,NJ
1201303,224-4036,NJ
1201304,224-6232,NJ
1201305,224-7142,NJ
1201306,224-6391,NJ
1201307,224-9206,NJ
1201308,224-7142,NJ
1201309,224-9206,NJ
1201310,224-4036,NJ
1201311,99999-MULT,NJ
1201312,224-4036,NJ
1201313,224-9206,NJ
1201314,224-4036,NJ
1201315,224-4036,NJ
1201316,224-7142,NJ
1201317,224-6391,NJ
1201318,224-7142,NJ
1201319,224-9206,NJ
1201320,224-6391,NJ
1201321,224-6391,NJ
1201322,224-4123,NJ
1201323,224-4036,NJ
1201324,224-9206,NJ
1201325,224-9206,NJ
1201326,224-4123,NJ
1201327,224-9206,NJ
1201328,224-4123,NJ
1201329,224-9206,NJ
1201330,224-9206,NJ
1201331,224-4123,NJ
1201332,224-9206,NJ
1201333,224-9206,NJ
1201334,224-2989,NJ
1201335,224-7142,NJ
1201336,224-9206,NJ
1201337,224-9206,NJ
1201338,224-7142,NJ
1201339,224-9206,NJ
1201340,224-4804,NJ
1201341,224-6391,NJ
1201342,224-9206,NJ
1201343,224-9206,NJ
1201344,224-6664,NJ
1201345,224-7229,NJ
1201346,224-9206,NJ
1201347,224-7229,NJ
1201348,224-9206,NJ
1201349,224-6623,NJ
1201350,224-6232,NJ
1201351,224-118F,NJ
1201352,224-7229,NJ
1201353,224-4145,NJ
1201354,224-6623,NJ
1201355,224-3639,NJ
1201356,224-7142,NJ
1201357,224-7421,NJ
1201358,224-9206,NJ
1201359,224-7232,NJ
1201360,224-7232,NJ
1201361,224-7232,NJ
1201362,224-6664,NJ
1201363,224-9206,NJ
1201364,224-6391,NJ
1201365,224-3639,NJ
1201366,224-692F,NJ
1201367,224-7229,NJ
1201368,224-9206,NJ
1201369,224-9206,NJ
1201370,224-6391,NJ
1201371,224-7142,NJ
1201372,224-9206,NJ
1201373,224-9206,NJ
1201374,224-7229,NJ
1201375,224-7229,NJ
1201376,224-6232,NJ
1201377,224-6088,NJ
1201378,224-6088,NJ
1201379,224-6088,NJ
1201380,224-264F,NJ
1201381,224-7142,NJ
1201382,224-6630,NJ
1201383,224-7229,NJ
1201384,224-9206,NJ
1201385,224-9206,NJ
1201386,224-9206,NJ
1201387,224-9206,NJ
1201388,224-6391,NJ
1201389,224-7142,NJ
1201390,224-6391,NJ
1201391,224-9206,NJ
1201392,224-9206,NJ
1201393,224-9206,NJ
1201394,224-6391,NJ
1201395,224-9206,NJ
1201396,224-6391,NJ
1201397,224-4804,NJ
1201398,224-9206,NJ
1201399,224-4123,NJ
1201400,224-6391,NJ
1201401,224-6391,NJ
1201402,224-7229,NJ
1201403,224-7134,NJ
1201404,224-4036,NJ
1201405,224-9206,NJ
1201406,224-4036,NJ
1201407,224-6391,NJ
1201408,224-7229,NJ
1201409,224-6630,NJ
1201410,224-6391,NJ
1201411,99999-MULT,NJ
1201412,224-4036,NJ
1201413,224-9206,NJ
1201414,224-7229,NJ
1201415,224-4036,NJ
1201416,224-7142,NJ
1201417,224-4036,NJ
1201418,224-9206,NJ
1201419,224-4036,NJ
1201420,224-9206,NJ
1201421,224-7142,NJ
1201422,224-9206,NJ
1201423,224-6664,NJ
1201424,224-6391,NJ
1201425,224-7229,NJ
1201426,224-7142,NJ
1201427,224-4123,NJ
1201428,224-7229,NJ
1201429,224-7229,NJ
1201430,224-7421,NJ
1201431,224-8700,NJ
1201432,224-9206,NJ
1201433,224-9206,NJ
1201434,224-9206,NJ
1201435,224-9206,NJ
1201436,224-9206,NJ
1201437,224-9206,NJ
1201438,224-9206,NJ
1201439,224-9206,NJ
1201440,224-9206,NJ
1201441,224-9206,NJ
1201442,224-7421,NJ
1201443,224-7142,NJ
1201444,224-9206,NJ
1201445,224-9206,NJ
1201446,224-6391,NJ
1201447,224-9206,NJ
1201448,224-6391,NJ
1201449,224-6664,NJ
1201450,224-4036,NJ
1201451,224-9206,NJ
1201452,224-6391,NJ
1201453,224-9206,NJ
1201454,224-4036,NJ
1201455,224-7142,NJ
1201456,224-6623,NJ
1201457,224-9206,NJ
1201458,224-2989,NJ
1201459,224-9206,NJ
1201460,224-9206,NJ
1201461,224-9206,NJ
1201462,224-9206,NJ
1201463,224-6391,NJ
1201464,224-264F,NJ
1201465,224-4123,NJ
1201467,224-7142,NJ
1201468,224-118F,NJ
1201469,224-7421,NJ
1201470,224-6391,NJ
1201471,224-2989,NJ
1201472,224-3639,NJ
1201473,224-4145,NJ
1201474,224-7142,NJ
1201475,224-9206,NJ
1201476,224-9206,NJ
1201477,224-7142,NJ
1201478,224-4036,NJ
1201479,224-264F,NJ
1201480,224-9206,NJ
1201481,224-6232,NJ
1201482,224-7232,NJ
1201483,224-4948,NJ
1201484,224-3639,NJ
1201485,224-7142,NJ
1201486,224-6623,NJ
1201487,224-9206,NJ
1201488,224-9206,NJ
1201489,224-9206,NJ
1201490,224-6088,NJ
1201491,224-6664,NJ
1201492,224-2680,NJ
1201493,224-9206,NJ
1201494,224-6664,NJ
1201495,224-6630,NJ
1201496,224-6623,NJ
1201497,224-7142,NJ
1201498,224-9206,NJ
1201499,224-7229,NJ
1201500,224-7232,NJ
1201501,224-9206,NJ
1201502,224-6630,NJ
1201503,224-9206,NJ
1201504,224-8407,NJ
1201505,224-9206,NJ
1201506,224-4036,NJ
1201507,224-9206,NJ
1201508,224-7142,NJ
1201509,224-4948,NJ
1201510,224-2680,NJ
1201511,99999-MULT,NJ
1201512,224-9206,NJ
1201513,224-4036,NJ
1201514,224-7232,NJ
1201515,224-7232,NJ
1201516,224-4948,NJ
1201517,224-6630,NJ
1201518,224-7229,NJ
1201519,224-4036,NJ
1201520,224-7134,NJ
1201521,224-9206,NJ
1201522,224-6232,NJ
1201523,224-0558,NJ
1201524,224-9206,NJ
1201525,224-9206,NJ
1201526,224-4123,NJ
1201527,224-7421,NJ
1201528,224-7134,NJ
1201529,224-9206,NJ
1201530,224-9206,NJ
1201531,224-9206,NJ
1201532,224-4036,NJ
1201533,224-9206,NJ
1201534,224-6630,NJ
1201535,224-4123,NJ
1201536,224-9206,NJ
1201537,224-4123,NJ
1201538,224-6232,NJ
1201539,224-4036,NJ
1201540,224-4123,NJ
1201541,224-9206,NJ
1201542,224-6630,NJ
1201543,224-4123,NJ
1201544,224-9206,NJ
1201545,224-6630,NJ
1201546,224-4036,NJ
1201547,224-9206,NJ
1201548,224-4123,NJ
1201549,224-4123,NJ
1201550,99999-9206,NJ
1201552,224-4948,NJ
1201553,224-9206,NJ
1201554,99999-9206,NJ
1201555,99999-MULT,NJ
1201556,224-9206,NJ
1201557,224-9206,NJ
1201558,224-9206,NJ
1201559,224-7229,NJ
1201560,224-9206,NJ
1201561,224-4123,NJ
1201562,224-3639,NJ
1201563,224-6391,NJ
1201564,224-2680,NJ
1201565,224-118F,NJ
1201566,224-7232,NJ
1201567,224-9206,NJ
1201568,224-9206,NJ
1201569,224-9206,NJ
1201570,224-6630,NJ
1201571,224-7229,NJ
1201572,224-6391,NJ
1201573,224-9206,NJ
1201574,224-7229,NJ
1201575,224-4804,NJ
1201576,224-9206,NJ
1201577,224-2771,NJ
1201578,224-3639,NJ
1201579,224-2680,NJ
1201580,224-6391,NJ
1201581,224-3048,NJ
1201582,224-7142,NJ
1201583,224-9206,NJ
1201584,224-3048,NJ
1201585,224-9206,NJ
1201586,224-3048,NJ
1201587,224-9206,NJ
1201588,224-7142,NJ
1201589,224-6664,NJ
1201590,224-7142,NJ
1201591,224-4123,NJ
1201592,224-9206,NJ
1201593,224-9206,NJ
1201594,224-9206,NJ
1201595,224-9206,NJ
1201596,224-4123,NJ
1201597,224-6232,NJ
1201598,224-5562,NJ
1201599,224-9206,NJ
1201600,224-6391,NJ
1201601,224-9206,NJ
1201602,224-6391,NJ
1201603,224-4145,NJ
1201604,224-4145,NJ
1201605,224-4145,NJ
1201606,224-4145,NJ
1201607,224-6630,NJ
1201608,224-4145,NJ
1201610,224-9206,NJ
1201611,99999-MULT,NJ
1201612,224-9206,NJ
1201613,224-4145,NJ
1201614,224-023B,NJ
1201615,224-6391,NJ
1201616,224-9206,NJ
1201617,224-9206,NJ
1201618,224-6391,NJ
1201619,224-6630,NJ
1201620,224-7229,NJ
1201621,224-4145,NJ
1201622,224-4145,NJ
1201623,224-4145,NJ
1201624,224-1913,NJ
1201625,224-4145,NJ
1201626,224-9206,NJ
1201627,224-3639,NJ
1201628,224-2989,NJ
1201629,224-6830,NJ
1201630,224-6664,NJ
1201631,224-9206,NJ
1201632,224-4145,NJ
1201633,224-6088,NJ
1201634,224-9206,NJ
1201635,224-9206,NJ
1201636,224-7061,NJ
1201637,224-4036,NJ
1201638,224-6391,NJ
1201639,224-2680,NJ
1201640,224-5562,NJ
1201641,224-9206,NJ
1201642,224-4145,NJ
1201643,224-4145,NJ
1201644,224-4948,NJ
1201645,224-2989,NJ
1201646,224-9206,NJ
1201647,224-6623,NJ
1201648,224-4123,NJ
1201649,224-2680,NJ
1201650,224-4036,NJ
1201651,224-9206,NJ
1201652,224-9206,NJ
1201653,224-9206,NJ
1201654,224-7142,NJ
1201655,224-0558,NJ
1201656,224-9206,NJ
1201657,224-4036,NJ
1201658,224-6623,NJ
1201659,224-9206,NJ
1201660,224-7142,NJ
1201661,224-2680,NJ
1201662,224-9206,NJ
1201663,224-6088,NJ
1201664,224-9206,NJ
1201665,224-4036,NJ
1201666,224-9206,NJ
1201667,224-5562,NJ
1201668,224-4036,NJ
1201669,224-4804,NJ
1201670,224-9206,NJ
1201671,224-9206,NJ
1201672,224-9206,NJ
1201673,224-7232,NJ
1201674,224-4036,NJ
1201675,224-4036,NJ
1201676,224-3639,NJ
1201677,224-9206,NJ
1201678,224-9206,NJ
1201679,224-6664,NJ
1201680,224-9206,NJ
1201681,224-6664,NJ
1201682,224-6623,NJ
1201683,224-4948,NJ
1201684,224-9206,NJ
1201685,224-9206,NJ
1201686,224-6664,NJ
1201687,224-5562,NJ
1201688,224-3639,NJ
1201689,224-9206,NJ
1201690,224-6088,NJ
1201691,224-9206,NJ
1201692,224-9206,NJ
1201693,224-2680,NJ
1201694,224-6391,NJ
1201695,224-9206,NJ
1201696,224-6088,NJ
1201697,224-6232,NJ
1201698,224-6630,NJ
1201699,224-3639,NJ
1201700,99999-MULT,NJ
1201701,224-3048,NJ
1201702,224-6664,NJ
1201703,224-9206,NJ
1201704,224-6391,NJ
1201705,224-389C,NJ
1201706,224-4036,NJ
1201707,224-4036,NJ
1201708,224-2680,NJ
1201709,224-4036,NJ
1201710,224-4948,NJ
1201711,99999-MULT,NJ
1201712,224-9206,NJ
1201713,224-7229,NJ
1201714,224-9206,NJ
1201715,224-4036,NJ
1201716,224-2680,NJ
1201717,99999-9206,NJ
1201718,224-9748,NJ
1201719,224-2680,NJ
1201720,224-2680,NJ
1201721,224-5364,NJ
1201722,224-9206,NJ
1201723,224-4036,NJ
1201724,224-6623,NJ
1201725,224-6391,NJ
1201726,224-3639,NJ
1201727,224-9206,NJ
1201728,224-9206,NJ
1201729,224-9206,NJ
1201730,224-9206,NJ
1201731,224-2989,NJ
1201733,224-6088,NJ
1201734,224-4145,NJ
1201735,224-6088,NJ
1201736,224-6623,NJ
1201737,224-5562,NJ
1201738,224-4036,NJ
1201739,224-6391,NJ
1201740,224-2989,NJ
1201741,224-6391,NJ
1201742,224-4145,NJ
1201743,224-7134,NJ
1201744,224-142D,NJ
1201745,224-4036,NJ
1201746,224-4948,NJ
1201747,224-4036,NJ
1201748,224-7142,NJ
1201749,224-4036,NJ
1201750,224-9206,NJ
1201751,224-2989,NJ
1201752,224-9206,NJ
1201753,224-482E,NJ
1201754,224-2989,NJ
1201755,224-4036,NJ
1201756,224-6801,NJ
1201757,224-6623,NJ
1201758,224-9206,NJ
1201759,224-6664,NJ
1201760,224-9206,NJ
1201761,224-9206,NJ
1201762,224-7229,NJ
1201763,224-4967,NJ
1201764,224-8407,NJ
1201765,224-2989,NJ
1201766,224-9206,NJ
1201767,224-9206,NJ
1201768,224-9206,NJ
1201769,224-6801,NJ
1201770,224-9206,NJ
1201771,224-3114,NJ
1201772,224-6664,NJ
1201773,224-4948,NJ
1201774,224-4036,NJ
1201775,224-9206,NJ
1201776,224-6664,NJ
1201777,224-6088,NJ
1201778,224-7232,NJ
1201779,224-6623,NJ
1201780,224-6664,NJ
1201781,224-4123,NJ
1201782,224-9206,NJ
1201783,224-3639,NJ
1201784,224-9206,NJ
1201785,224-9206,NJ
1201786,224-4123,NJ
1201787,224-6391,NJ
1201788,224-6391,NJ
1201789,224-6871,NJ
1201790,224-6623,NJ
1201791,224-9206,NJ
1201792,224-9206,NJ
1201793,224-7134,NJ
1201794,224-9206,NJ
1201795,224-9206,NJ
1201796,224-9206,NJ
1201797,224-9206,NJ
1201798,224-9206,NJ
1201799,224-2680,NJ
1201800,224-7421,NJ
1201801,224-9206,NJ
1201802,224-9206,NJ
1201803,224-6391,NJ
1201804,224-9206,NJ
1201805,224-4036,NJ
1201806,224-2680,NJ
1201807,224-9206,NJ
1201808,224-2680,NJ
1201809,224-2680,NJ
1201810,224-6871,NJ
1201811,99999-MULT,NJ
1201812,224-2680,NJ
1201813,224-6830,NJ
1201814,224-9206,NJ
1201815,224-6391,NJ
1201816,224-9206,NJ
1201817,224-9206,NJ
1201818,224-9206,NJ
1201819,224-6391,NJ
1201820,224-9206,NJ
1201821,224-8407,NJ
1201822,224-4145,NJ
1201823,224-9206,NJ
1201824,224-6088,NJ
1201825,224-9206,NJ
1201826,224-4036,NJ
1201827,224-9206,NJ
1201828,224-9206,NJ
1201829,224-4145,NJ
1201830,224-9206,NJ
1201831,224-9206,NJ
